sugar-growth,gini,initial-sugar
1,0.486861006,9.814
1,0.488370565,10.038
2,0.508628929,9.854
1,0.489254405,10.016
2,0.513413145,9.874
2,0.520140795,9.984
2,0.529819851,9.9
2,0.504826402,9.956
2,0.529039205,10.108
2,0.507985469,9.898
2,0.529523341,10.018
2,0.489235907,9.964
2,0.502205395,9.752
2,0.49607587,9.846
2,0.517264439,9.994
2,0.506653783,10.104
2,0.513540119,9.982
2,0.51392434,10.036
2,0.507328267,10.048
2,0.50907168,10.132
2,0.498110658,9.918
2,0.516871343,9.894
2,0.515571384,10.11
2,0.516488693,10.016
2,0.497992734,10.154
2,0.523666782,9.952
2,0.506913286,10.2
2,0.513237903,10.136
2,0.522116322,10.076
2,0.510456639,10.096
2,0.503693653,9.948
2,0.52639075,10.198
2,0.501636587,9.86
2,0.498300738,10.112
2,0.508522275,9.88
2,0.491079128,9.896
2,0.525593538,10.238
2,0.532171465,10.07
2,0.523813595,9.986
2,0.499368169,10.018
2,0.504271739,10.042
2,0.505853716,10.14
2,0.493918955,9.966
2,0.527979119,10.004
2,0.505157383,9.976
2,0.511552563,9.978
2,0.504859325,10.108
2,0.521344745,9.892
2,0.503859559,9.966
2,0.505124843,10.036
2,0.50668256,10.02
2,0.504781915,9.874
2,0.502203765,9.886
2,0.503548154,10.182
2,0.50844428,10.14
2,0.498843077,10.15
2,0.512511065,9.954
2,0.499489719,9.884
2,0.510900815,10.072
2,0.506819164,10.028
2,0.518228807,10.032
2,0.544681069,10.02
2,0.511990168,10.264
2,0.515289909,9.994
2,0.521445659,10.03
2,0.508137418,10.18
2,0.519989081,10.148
2,0.525387805,10
2,0.506708446,9.994
2,0.526858606,9.884
2,0.525579135,9.858
2,0.497515632,9.742
2,0.507720787,10.108
2,0.500146973,9.916
2,0.513321009,9.978
2,0.516639122,10.034
2,0.531128649,10.138
2,0.516532269,9.978
2,0.524690633,10.12
2,0.520610531,9.844
2,0.524333333,10.026
2,0.503188532,9.828
2,0.505954909,9.866
2,0.495044683,10.05
2,0.503611237,9.958
2,0.525101139,9.786
2,0.513078792,9.996
2,0.503888064,9.996
2,0.519666005,10.088
2,0.517606174,9.99
2,0.511208816,9.854
2,0.508886741,9.876
2,0.517388538,9.948
2,0.514616328,10.182
2,0.514466879,10.06
2,0.49378293,9.926
2,0.546404232,10.322
2,0.505659596,10.152
2,0.510385134,10.05
2,0.495783815,10.154
2,0.49369379,9.92
2,0.514343738,9.886
2,0.507855175,9.594
2,0.512668975,10.312
2,0.505354457,10.132
2,0.510616981,10.14
2,0.519047526,9.674
2,0.514381756,10.088
2,0.489154626,9.85
2,0.505060913,9.81
2,0.503972419,10.21
2,0.500735582,9.79
2,0.519760455,10.148
2,0.529747598,10.188
2,0.504176368,10.084
2,0.503732553,10.1
2,0.500919771,9.868
2,0.501085913,9.788
2,0.517019401,9.94
2,0.51688836,9.942
2,0.502102256,10.076
2,0.512196553,9.802
2,0.493973073,9.846
2,0.494249487,9.842
2,0.504915238,9.962
2,0.505876697,10.116
2,0.491563967,9.896
2,0.495021815,10.118
2,0.499970435,9.946
2,0.502101306,9.94
2,0.509031116,10.21
2,0.518175527,9.938
2,0.512559867,10.212
2,0.507200991,9.844
2,0.512938532,9.912
2,0.529231226,10.134
2,0.511494972,10.088
2,0.501461847,10.064
2,0.515805437,10.056
2,0.516986836,9.906
2,0.527600607,10.15
2,0.485594755,9.928
2,0.512610147,9.964
2,0.505924066,10.09
2,0.501892664,9.792
2,0.506406003,9.806
2,0.518215235,9.85
2,0.510786476,9.924
2,0.521956718,10.136
2,0.517230809,10.172
2,0.5181049,10.092
2,0.521583229,10.086
2,0.482896018,10.03
2,0.516264412,10.038
2,0.502670899,10.058
2,0.521881644,9.922
2,0.509310632,9.836
2,0.48702422,9.99
2,0.536183665,9.788
2,0.524739343,10.076
2,0.51731148,9.906
2,0.503284383,10.056
2,0.514699415,9.834
2,0.521341806,9.71
2,0.520896362,10.078
2,0.512439043,9.974
2,0.486962578,10.148
2,0.500519169,10.152
2,0.520620353,10.254
2,0.511995346,9.962
2,0.485709787,9.768
2,0.501216005,10.036
2,0.499320843,10.114
2,0.519987825,9.98
2,0.511249962,10.264
2,0.518219654,9.94
2,0.505995262,10.216
2,0.518355783,9.8
2,0.502938157,10.142
2,0.529781062,9.946
2,0.516931708,10.07
2,0.525230001,9.798
2,0.509009859,9.97
2,0.515605203,9.918
2,0.516025258,9.846
2,0.501755619,10.082
2,0.516061281,9.858
2,0.525256235,10.042
2,0.52114683,10
2,0.517509753,9.926
2,0.505247826,10.112
2,0.512851783,10.218
2,0.531555315,10.118
2,0.508059492,9.96
2,0.522432261,10.138
2,0.519270542,9.984
2,0.518885509,10.062
2,0.512306109,10.01
2,0.514108103,9.952
2,0.502293069,9.964
2,0.511508456,10.038
2,0.517111933,9.998
