 borough ,year,theft,robbery,burglary,total_property_crime,total_crime,unemployment(tousands),earnings,number of NVQ4+ aged 16-64,Population estimate,Population per square kilometre
 Hounslow ,2018,5340 ,671 ,2271 ,8282 ,25491 ,7300 ,533.60 ,98800 ,278264 ,4971 
 Islington ,2018,9328 ,1526 ,2741 ,13595 ,28804 ,7500 ,687.70 ,117700 ,238267 ,16038 
 Kensington and Chelsea ,2018,7581 ,733 ,2064 ,10378 ,22080 ,4400 ,670.60 ,64300 ,159301 ,13139 
 Kingston upon Thames ,2018,3687 ,262 ,982 ,4931 ,12386 ,4600 ,629.70 ,71900 ,179581 ,4820 
 Lambeth ,2018,9369 ,1359 ,3148 ,13876 ,35116 ,12800 ,617.10 ,150200 ,334724 ,12485 
 Lewisham ,2018,4911 ,1045 ,2557 ,8513 ,26121 ,8600 ,551.20 ,124200 ,310324 ,8829 
 Merton ,2018,3148 ,390 ,1544 ,5082 ,13831 ,5200 ,594.10 ,73200 ,209421 ,5566 
 Newham ,2018,9487 ,1822 ,2460 ,13769 ,36074 ,10200 ,475.90 ,119900 ,353245 ,9759 
 Redbridge ,2018,4649 ,1075 ,2860 ,8584 ,23571 ,7400 ,555.80 ,92600 ,305910 ,5422 
 Richmond upon Thames ,2018,2952 ,362 ,1784 ,5098 ,12718 ,4100 ,677.60 ,83600 ,199419 ,3474 
 Southwark ,2018,10442 ,1808 ,3035 ,15285 ,35732 ,11600 ,589.40 ,149200 ,322302 ,11167 
 Sutton ,2018,2377 ,323 ,1182 ,3882 ,12104 ,5200 ,548.70 ,62100 ,207378 ,4730 
 Tower Hamlets ,2018,8626 ,1549 ,3295 ,13470 ,33725 ,10100 ,627.60 ,125700 ,317203 ,16036 
 Waltham Forest ,2018,5124 ,976 ,2187 ,8287 ,23713 ,6200 ,529.70 ,90800 ,283524 ,7306 
 Wandsworth ,2018,6325 ,862 ,2771 ,9958 ,25869 ,8000 ,695.70 ,165000 ,324400 ,9468 
 Westminster ,2018,31513 ,3180 ,4317 ,39010 ,63135 ,6400 ,757.10 ,115000 ,254375 ,11839 
 Barking and Dagenham ,2019,3671 ,1080 ,1547 ,6298 ,20205 ,6000 ,471.00 ,45300 ,214858 ,5950 
 Barnet ,2019,6766 ,1300 ,3624 ,11690 ,31617 ,9500 ,536.40 ,137600 ,402363 ,4638 
 Bexley ,2019,2891 ,383 ,1761 ,5035 ,18082 ,5400 ,553.40 ,55200 ,252885 ,4174 
 Brent ,2019,5788 ,1417 ,2686 ,9891 ,30487 ,8200 ,524.00 ,105000 ,340710 ,7881 
 Bromley ,2019,5347 ,507 ,2749 ,8603 ,25220 ,5300 ,638.30 ,113300 ,334292 ,2227 
 Camden ,2019,17239 ,1924 ,3377 ,22540 ,39835 ,6300 ,662.00 ,113000 ,255526 ,11727 
 Croydon ,2019,6012 ,1169 ,2826 ,10007 ,33912 ,11100 ,561.70 ,107400 ,396548 ,4584 
 Ealing ,2019,6147 ,1306 ,2915 ,10368 ,31865 ,9500 ,532.20 ,130000 ,354184 ,6377 
 Enfield ,2019,5370 ,1720 ,3232 ,10322 ,30614 ,9600 ,490.10 ,87600 ,339480 ,4200 
 Greenwich ,2019,5729 ,873 ,2530 ,9132 ,28913 ,7700 ,579.50 ,97100 ,289650 ,6119 
 Hackney ,2019,10775 ,2046 ,3355 ,16176 ,34508 ,7700 ,574.90 ,118400 ,286425 ,15036 
 Hammersmith and Fulham ,2019,6901 ,878 ,1880 ,9659 ,23879 ,5200 ,728.00 ,88400 ,186075 ,11348 
 Haringey ,2019,7285 ,2644 ,2835 ,12764 ,32487 ,6700 ,547.60 ,115300 ,285949 ,9661 
